candidate_id,rank,score,reasoning
CAND_0064326,1,0.826588,"Search Engineer at Sarvam AI with 7.6yr experience; 7 JD-relevant skills: Weaviate, Python, scikit-learn, PyTorch, QLoRA. Concerns: high response rate (94%)."
CAND_0011687,2,0.824634,"Senior NLP Engineer at Niramai with 7.8yr experience; 8 JD-relevant skills: OpenSearch, Embeddings, Weaviate, PyTorch, FAISS. Concerns: high response rate (89%)."
CAND_0099806,3,0.802718,"AI Engineer at Mad Street Den with 4.6yr experience; 8 JD-relevant skills: Qdrant, FAISS, BM25, Weaviate, Embeddings. Concerns: high response rate (76%)."
CAND_0002025,4,0.792927,"Senior AI Engineer at Apple with 5.9yr experience; 11 JD-relevant skills: NLP, Recommendation Systems, Python, FAISS, Fine-tuning LLMs. Concerns: high response rate (80%); India (Trivandrum, Kerala), not willing to relocate."
CAND_0065195,5,0.779673,"Search Engineer at CRED with 5.1yr experience; 7 JD-relevant skills: Elasticsearch, QLoRA, Hugging Face Transformers, scikit-learn, Learning to Rank. Concerns: high response rate (80%)."
CAND_0081846,6,0.772490,"Lead AI Engineer at Razorpay with 6.7yr experience; 11 JD-relevant skills: Learning to Rank, Recommendation Systems, Information Retrieval, BM25, Vector Search. Concerns: high response rate (73%)."
CAND_0006567,7,0.768255,"Senior AI Engineer at Meta with 7.9yr experience; 7 JD-relevant skills: scikit-learn, Feature Engineering, Recommendation Systems, Ranking Systems, Python. Concerns: high response rate (79%)."
CAND_0036184,8,0.764052,"Recommendation Systems Engineer at CRED with 6.0yr experience; 9 JD-relevant skills: Hugging Face Transformers, Pinecone, QLoRA, PyTorch, Sentence Transformers. Concerns: high response rate (90%); India (Trivandrum, Kerala), not willing to relocate."
CAND_0093912,9,0.759320,"Senior Data Scientist at Razorpay with 5.3yr experience; 7 JD-relevant skills: Vector Search, Milvus, Elasticsearch, Recommendation Systems, Embeddings. Concerns: India (Chandigarh, Chandigarh), not willing to relocate."
CAND_0076163,10,0.752097,"NLP Engineer at Ola with 6.9yr experience; 8 JD-relevant skills: Python, Sentence Transformers, PyTorch, Elasticsearch, OpenSearch. Concerns: high response rate (84%); India (Chandigarh, Chandigarh), not willing to relocate."
